Energy	Plot 1
4000	1.744e+11
4000.5	1.75e+11
4001	1.757e+11
4001.5	1.763e+11
4002	1.77e+11
4002.5	1.776e+11
4003	1.783e+11
4003.5	1.789e+11
4004	1.796e+11
4004.5	1.802e+11
4005	1.809e+11
4005.5	1.815e+11
4006	1.822e+11
4006.5	1.828e+11
4007	1.835e+11
4007.5	1.841e+11
4008	1.848e+11
4008.5	1.854e+11
4009	1.861e+11
4009.5	1.868e+11
4010	1.874e+11
4010.5	1.88e+11
4011	1.887e+11
4011.5	1.894e+11
4012	1.9e+11
4012.5	1.906e+11
4013	1.913e+11
4013.5	1.919e+11
4014	1.926e+11
4014.5	1.932e+11
4015	1.939e+11
4015.5	1.945e+11
4016	1.951e+11
4016.5	1.958e+11
4017	1.964e+11
4017.5	1.97e+11
4018	1.977e+11
4018.5	1.983e+11
4019	1.989e+11
4019.5	1.995e+11
4020	2.002e+11
4020.5	2.008e+11
4021	2.014e+11
4021.5	2.02e+11
4022	2.026e+11
4022.5	2.033e+11
4023	2.039e+11
4023.5	2.045e+11
4024	2.051e+11
4024.5	2.057e+11
4025	2.063e+11
4025.5	2.07e+11
4026	2.076e+11
4026.5	2.082e+11
4027	2.088e+11
4027.5	2.094e+11
4028	2.1e+11
4028.5	2.107e+11
4029	2.113e+11
4029.5	2.119e+11
4030	2.125e+11
4030.5	2.132e+11
4031	2.138e+11
4031.5	2.145e+11
4032	2.151e+11
4032.5	2.157e+11
4033	2.164e+11
4033.5	2.17e+11
4034	2.177e+11
4034.5	2.184e+11
4035	2.19e+11
4035.5	2.197e+11
4036	2.203e+11
4036.5	2.21e+11
4037	2.217e+11
4037.5	2.224e+11
4038	2.231e+11
4038.5	2.238e+11
4039	2.245e+11
4039.5	2.252e+11
4040	2.26e+11
4040.5	2.267e+11
4041	2.274e+11
4041.5	2.281e+11
4042	2.289e+11
4042.5	2.296e+11
4043	2.304e+11
4043.5	2.312e+11
4044	2.319e+11
4044.5	2.327e+11
4045	2.335e+11
4045.5	2.343e+11
4046	2.351e+11
4046.5	2.359e+11
4047	2.367e+11
4047.5	2.375e+11
4048	2.383e+11
4048.5	2.391e+11
4049	2.4e+11
4049.5	2.408e+11
4050	2.417e+11
4050.5	2.425e+11
4051	2.434e+11
4051.5	2.442e+11
4052	2.451e+11
4052.5	2.46e+11
4053	2.469e+11
4053.5	2.478e+11
4054	2.486e+11
4054.5	2.495e+11
4055	2.505e+11
4055.5	2.514e+11
4056	2.522e+11
4056.5	2.532e+11
4057	2.541e+11
4057.5	2.55e+11
4058	2.559e+11
4058.5	2.569e+11
4059	2.578e+11
4059.5	2.587e+11
4060	2.596e+11
4060.5	2.606e+11
4061	2.615e+11
4061.5	2.625e+11
4062	2.634e+11
4062.5	2.643e+11
4063	2.653e+11
4063.5	2.662e+11
4064	2.672e+11
4064.5	2.681e+11
4065	2.691e+11
4065.5	2.7e+11
4066	2.71e+11
4066.5	2.72e+11
4067	2.729e+11
4067.5	2.739e+11
4068	2.748e+11
4068.5	2.757e+11
4069	2.767e+11
4069.5	2.777e+11
4070	2.786e+11
4070.5	2.796e+11
4071	2.805e+11
4071.5	2.814e+11
4072	2.824e+11
4072.5	2.833e+11
4073	2.842e+11
4073.5	2.852e+11
4074	2.861e+11
4074.5	2.87e+11
4075	2.879e+11
4075.5	2.889e+11
4076	2.898e+11
4076.5	2.907e+11
4077	2.916e+11
4077.5	2.925e+11
4078	2.934e+11
4078.5	2.944e+11
4079	2.953e+11
4079.5	2.962e+11
4080	2.971e+11
4080.5	2.98e+11
4081	2.989e+11
4081.5	2.998e+11
4082	3.007e+11
4082.5	3.016e+11
4083	3.024e+11
4083.5	3.033e+11
4084	3.042e+11
4084.5	3.052e+11
4085	3.06e+11
4085.5	3.069e+11
4086	3.078e+11
4086.5	3.087e+11
4087	3.096e+11
4087.5	3.106e+11
4088	3.115e+11
4088.5	3.124e+11
4089	3.133e+11
4089.5	3.142e+11
4090	3.151e+11
4090.5	3.16e+11
4091	3.17e+11
4091.5	3.179e+11
4092	3.188e+11
4092.5	3.198e+11
4093	3.207e+11
4093.5	3.217e+11
4094	3.226e+11
4094.5	3.236e+11
4095	3.245e+11
4095.5	3.255e+11
4096	3.265e+11
4096.5	3.275e+11
4097	3.285e+11
4097.5	3.295e+11
4098	3.305e+11
4098.5	3.315e+11
4099	3.325e+11
4099.5	3.336e+11
4100	3.346e+11
4100.5	3.356e+11
4101	3.367e+11
4101.5	3.377e+11
4102	3.388e+11
4102.5	3.399e+11
4103	3.409e+11
4103.5	3.42e+11
4104	3.431e+11
4104.5	3.442e+11
4105	3.453e+11
4105.5	3.464e+11
4106	3.475e+11
4106.5	3.486e+11
4107	3.497e+11
4107.5	3.509e+11
4108	3.52e+11
4108.5	3.532e+11
4109	3.543e+11
4109.5	3.554e+11
4110	3.566e+11
4110.5	3.577e+11
4111	3.589e+11
4111.5	3.6e+11
4112	3.612e+11
4112.5	3.624e+11
4113	3.635e+11
4113.5	3.647e+11
4114	3.659e+11
4114.5	3.67e+11
4115	3.682e+11
4115.5	3.694e+11
4116	3.705e+11
4116.5	3.717e+11
4117	3.729e+11
4117.5	3.741e+11
4118	3.752e+11
4118.5	3.764e+11
4119	3.775e+11
4119.5	3.787e+11
4120	3.799e+11
4120.5	3.811e+11
4121	3.822e+11
4121.5	3.834e+11
4122	3.845e+11
4122.5	3.857e+11
4123	3.868e+11
4123.5	3.88e+11
4124	3.891e+11
4124.5	3.902e+11
4125	3.913e+11
4125.5	3.925e+11
4126	3.936e+11
4126.5	3.947e+11
4127	3.958e+11
4127.5	3.969e+11
4128	3.98e+11
4128.5	3.991e+11
4129	4.002e+11
4129.5	4.013e+11
4130	4.023e+11
4130.5	4.034e+11
4131	4.044e+11
4131.5	4.055e+11
4132	4.066e+11
4132.5	4.077e+11
4133	4.087e+11
4133.5	4.097e+11
4134	4.108e+11
4134.5	4.118e+11
4135	4.129e+11
4135.5	4.139e+11
4136	4.149e+11
4136.5	4.159e+11
4137	4.169e+11
4137.5	4.18e+11
4138	4.19e+11
4138.5	4.2e+11
4139	4.21e+11
4139.5	4.22e+11
4140	4.23e+11
4140.5	4.24e+11
4141	4.25e+11
4141.5	4.26e+11
4142	4.271e+11
4142.5	4.28e+11
4143	4.291e+11
4143.5	4.301e+11
4144	4.311e+11
4144.5	4.322e+11
4145	4.332e+11
4145.5	4.342e+11
4146	4.353e+11
4146.5	4.363e+11
4147	4.374e+11
4147.5	4.385e+11
4148	4.395e+11
4148.5	4.406e+11
4149	4.417e+11
4149.5	4.428e+11
4150	4.439e+11
4150.5	4.45e+11
4151	4.462e+11
4151.5	4.473e+11
4152	4.484e+11
4152.5	4.496e+11
4153	4.508e+11
4153.5	4.519e+11
4154	4.531e+11
4154.5	4.543e+11
4155	4.556e+11
4155.5	4.568e+11
4156	4.58e+11
4156.5	4.593e+11
4157	4.605e+11
4157.5	4.618e+11
4158	4.631e+11
4158.5	4.644e+11
4159	4.657e+11
4159.5	4.67e+11
4160	4.683e+11
4160.5	4.697e+11
4161	4.71e+11
4161.5	4.723e+11
4162	4.737e+11
4162.5	4.751e+11
4163	4.764e+11
4163.5	4.778e+11
4164	4.792e+11
4164.5	4.806e+11
4165	4.819e+11
4165.5	4.833e+11
4166	4.847e+11
4166.5	4.861e+11
4167	4.875e+11
