Energy	Plot 1
4145	4.047e+12
4145.5	4.078e+12
4146	4.109e+12
4146.5	4.14e+12
4147	4.171e+12
4147.5	4.201e+12
4148	4.232e+12
4148.5	4.263e+12
4149	4.295e+12
4149.5	4.326e+12
4150	4.357e+12
4150.5	4.388e+12
4151	4.419e+12
4151.5	4.45e+12
4152	4.482e+12
4152.5	4.513e+12
4153	4.545e+12
4153.5	4.576e+12
4154	4.607e+12
4154.5	4.638e+12
4155	4.67e+12
4155.5	4.701e+12
4156	4.732e+12
4156.5	4.763e+12
4157	4.794e+12
4157.5	4.825e+12
4158	4.856e+12
4158.5	4.887e+12
4159	4.918e+12
4159.5	4.948e+12
4160	4.979e+12
4160.5	5.01e+12
4161	5.04e+12
4161.5	5.07e+12
4162	5.1e+12
4162.5	5.13e+12
4163	5.16e+12
4163.5	5.19e+12
4164	5.22e+12
4164.5	5.249e+12
4165	5.278e+12
4165.5	5.307e+12
4166	5.336e+12
4166.5	5.365e+12
4167	5.394e+12
4167.5	5.422e+12
4168	5.45e+12
4168.5	5.478e+12
4169	5.506e+12
4169.5	5.533e+12
4170	5.561e+12
4170.5	5.588e+12
4171	5.615e+12
4171.5	5.641e+12
4172	5.667e+12
4172.5	5.694e+12
4173	5.719e+12
4173.5	5.745e+12
4174	5.77e+12
4174.5	5.795e+12
4175	5.82e+12
4175.5	5.844e+12
4176	5.868e+12
4176.5	5.892e+12
4177	5.916e+12
4177.5	5.939e+12
4178	5.962e+12
4178.5	5.985e+12
4179	6.007e+12
4179.5	6.029e+12
4180	6.05e+12
4180.5	6.072e+12
4181	6.093e+12
4181.5	6.113e+12
4182	6.134e+12
4182.5	6.154e+12
4183	6.173e+12
4183.5	6.193e+12
4184	6.212e+12
4184.5	6.23e+12
4185	6.249e+12
4185.5	6.267e+12
4186	6.284e+12
4186.5	6.301e+12
4187	6.318e+12
4187.5	6.335e+12
4188	6.351e+12
4188.5	6.366e+12
4189	6.382e+12
4189.5	6.396e+12
4190	6.411e+12
4190.5	6.425e+12
4191	6.439e+12
4191.5	6.452e+12
4192	6.465e+12
4192.5	6.478e+12
4193	6.49e+12
4193.5	6.502e+12
4194	6.513e+12
4194.5	6.524e+12
4195	6.535e+12
4195.5	6.545e+12
4196	6.555e+12
4196.5	6.564e+12
4197	6.572e+12
4197.5	6.581e+12
4198	6.589e+12
4198.5	6.596e+12
4199	6.604e+12
4199.5	6.61e+12
4200	6.616e+12
4200.5	6.622e+12
4201	6.628e+12
4201.5	6.632e+12
4202	6.637e+12
4202.5	6.641e+12
4203	6.645e+12
4203.5	6.648e+12
4204	6.65e+12
4204.5	6.653e+12
4205	6.655e+12
4205.5	6.656e+12
4206	6.657e+12
4206.5	6.657e+12
4207	6.657e+12
4207.5	6.657e+12
4208	6.656e+12
4208.5	6.654e+12
4209	6.652e+12
4209.5	6.65e+12
4210	6.647e+12
4210.5	6.645e+12
4211	6.641e+12
4211.5	6.637e+12
4212	6.632e+12
