Energy	Plot 1
4145	3.91e+11
4145.5	3.944e+11
4146	3.979e+11
4146.5	4.013e+11
4147	4.047e+11
4147.5	4.08e+11
4148	4.112e+11
4148.5	4.143e+11
4149	4.174e+11
4149.5	4.203e+11
4150	4.231e+11
4150.5	4.258e+11
4151	4.283e+11
4151.5	4.307e+11
4152	4.329e+11
4152.5	4.35e+11
4153	4.369e+11
4153.5	4.386e+11
4154	4.402e+11
4154.5	4.415e+11
4155	4.428e+11
4155.5	4.439e+11
4156	4.448e+11
4156.5	4.455e+11
4157	4.461e+11
4157.5	4.465e+11
4158	4.468e+11
4158.5	4.47e+11
4159	4.47e+11
4159.5	4.47e+11
4160	4.468e+11
4160.5	4.466e+11
4161	4.463e+11
4161.5	4.459e+11
4162	4.454e+11
4162.5	4.45e+11
4163	4.445e+11
4163.5	4.44e+11
4164	4.435e+11
4164.5	4.43e+11
4165	4.425e+11
4165.5	4.421e+11
4166	4.417e+11
4166.5	4.414e+11
4167	4.412e+11
4167.5	4.41e+11
4168	4.409e+11
4168.5	4.409e+11
4169	4.41e+11
4169.5	4.413e+11
4170	4.416e+11
4170.5	4.42e+11
4171	4.426e+11
4171.5	4.433e+11
4172	4.441e+11
4172.5	4.45e+11
4173	4.461e+11
4173.5	4.473e+11
4174	4.485e+11
4174.5	4.499e+11
4175	4.514e+11
4175.5	4.531e+11
4176	4.548e+11
4176.5	4.566e+11
4177	4.585e+11
4177.5	4.604e+11
4178	4.625e+11
4178.5	4.646e+11
4179	4.667e+11
4179.5	4.689e+11
4180	4.712e+11
4180.5	4.735e+11
4181	4.758e+11
4181.5	4.781e+11
4182	4.804e+11
4182.5	4.827e+11
4183	4.851e+11
4183.5	4.874e+11
4184	4.897e+11
4184.5	4.92e+11
4185	4.942e+11
4185.5	4.964e+11
4186	4.986e+11
4186.5	5.008e+11
4187	5.029e+11
4187.5	5.05e+11
4188	5.07e+11
4188.5	5.09e+11
4189	5.11e+11
4189.5	5.129e+11
4190	5.148e+11
4190.5	5.166e+11
4191	5.185e+11
4191.5	5.203e+11
4192	5.22e+11
4192.5	5.238e+11
4193	5.256e+11
4193.5	5.273e+11
4194	5.291e+11
4194.5	5.308e+11
4195	5.326e+11
4195.5	5.344e+11
4196	5.363e+11
4196.5	5.381e+11
4197	5.401e+11
4197.5	5.42e+11
4198	5.44e+11
4198.5	5.461e+11
4199	5.483e+11
4199.5	5.506e+11
4200	5.529e+11
4200.5	5.553e+11
4201	5.578e+11
4201.5	5.604e+11
4202	5.631e+11
4202.5	5.659e+11
4203	5.688e+11
4203.5	5.718e+11
4204	5.749e+11
4204.5	5.782e+11
4205	5.815e+11
4205.5	5.848e+11
4206	5.883e+11
4206.5	5.919e+11
4207	5.956e+11
4207.5	5.994e+11
4208	6.032e+11
4208.5	6.07e+11
4209	6.109e+11
4209.5	6.149e+11
4210	6.188e+11
4210.5	6.229e+11
4211	6.269e+11
4211.5	6.308e+11
4212	6.348e+11
4212.5	6.387e+11
4213	6.426e+11
4213.5	6.464e+11
4214	6.502e+11
4214.5	6.538e+11
4215	6.573e+11
4215.5	6.608e+11
4216	6.641e+11
