Energy	Plot 1
4000	1.357e+11
4000.5	1.361e+11
4001	1.366e+11
4001.5	1.37e+11
4002	1.375e+11
4002.5	1.38e+11
4003	1.384e+11
4003.5	1.389e+11
4004	1.394e+11
4004.5	1.399e+11
4005	1.404e+11
4005.5	1.409e+11
4006	1.414e+11
4006.5	1.419e+11
4007	1.425e+11
4007.5	1.43e+11
4008	1.435e+11
4008.5	1.44e+11
4009	1.446e+11
4009.5	1.451e+11
4010	1.456e+11
4010.5	1.462e+11
4011	1.467e+11
4011.5	1.473e+11
4012	1.478e+11
4012.5	1.484e+11
4013	1.49e+11
4013.5	1.495e+11
4014	1.501e+11
4014.5	1.506e+11
4015	1.512e+11
4015.5	1.518e+11
4016	1.523e+11
4016.5	1.529e+11
4017	1.535e+11
4017.5	1.54e+11
4018	1.546e+11
4018.5	1.552e+11
4019	1.557e+11
4019.5	1.563e+11
4020	1.569e+11
4020.5	1.574e+11
4021	1.58e+11
4021.5	1.586e+11
4022	1.591e+11
4022.5	1.597e+11
4023	1.602e+11
4023.5	1.608e+11
4024	1.613e+11
4024.5	1.619e+11
4025	1.624e+11
4025.5	1.63e+11
4026	1.635e+11
4026.5	1.641e+11
4027	1.646e+11
4027.5	1.651e+11
4028	1.657e+11
4028.5	1.662e+11
4029	1.667e+11
4029.5	1.672e+11
4030	1.677e+11
4030.5	1.682e+11
4031	1.687e+11
4031.5	1.693e+11
4032	1.697e+11
4032.5	1.702e+11
4033	1.707e+11
4033.5	1.712e+11
4034	1.717e+11
4034.5	1.722e+11
4035	1.727e+11
4035.5	1.731e+11
4036	1.736e+11
4036.5	1.741e+11
4037	1.745e+11
4037.5	1.75e+11
4038	1.754e+11
4038.5	1.759e+11
4039	1.763e+11
4039.5	1.768e+11
4040	1.773e+11
4040.5	1.777e+11
4041	1.781e+11
4041.5	1.786e+11
4042	1.79e+11
4042.5	1.794e+11
4043	1.799e+11
4043.5	1.803e+11
4044	1.807e+11
4044.5	1.812e+11
4045	1.816e+11
4045.5	1.82e+11
4046	1.825e+11
4046.5	1.829e+11
4047	1.833e+11
4047.5	1.838e+11
4048	1.842e+11
4048.5	1.846e+11
4049	1.851e+11
4049.5	1.855e+11
4050	1.859e+11
4050.5	1.864e+11
4051	1.868e+11
4051.5	1.873e+11
4052	1.877e+11
4052.5	1.882e+11
4053	1.887e+11
4053.5	1.891e+11
4054	1.896e+11
4054.5	1.901e+11
4055	1.906e+11
4055.5	1.911e+11
4056	1.916e+11
4056.5	1.921e+11
4057	1.926e+11
4057.5	1.932e+11
4058	1.938e+11
4058.5	1.943e+11
4059	1.949e+11
4059.5	1.955e+11
4060	1.961e+11
4060.5	1.967e+11
4061	1.973e+11
4061.5	1.979e+11
4062	1.986e+11
4062.5	1.993e+11
4063	1.999e+11
4063.5	2.007e+11
4064	2.014e+11
4064.5	2.021e+11
4065	2.028e+11
4065.5	2.036e+11
4066	2.044e+11
4066.5	2.052e+11
4067	2.06e+11
4067.5	2.069e+11
4068	2.077e+11
4068.5	2.086e+11
4069	2.095e+11
4069.5	2.104e+11
4070	2.114e+11
4070.5	2.123e+11
4071	2.133e+11
4071.5	2.142e+11
4072	2.152e+11
4072.5	2.163e+11
4073	2.173e+11
4073.5	2.184e+11
4074	2.194e+11
4074.5	2.205e+11
4075	2.216e+11
4075.5	2.227e+11
4076	2.239e+11
4076.5	2.25e+11
4077	2.262e+11
4077.5	2.273e+11
4078	2.285e+11
4078.5	2.297e+11
4079	2.309e+11
4079.5	2.321e+11
4080	2.334e+11
4080.5	2.346e+11
4081	2.358e+11
4081.5	2.371e+11
4082	2.384e+11
4082.5	2.396e+11
4083	2.409e+11
4083.5	2.422e+11
4084	2.434e+11
4084.5	2.447e+11
4085	2.46e+11
4085.5	2.473e+11
4086	2.486e+11
4086.5	2.499e+11
4087	2.512e+11
4087.5	2.524e+11
4088	2.537e+11
4088.5	2.55e+11
4089	2.563e+11
4089.5	2.575e+11
4090	2.588e+11
4090.5	2.601e+11
4091	2.613e+11
4091.5	2.625e+11
4092	2.638e+11
4092.5	2.65e+11
4093	2.662e+11
4093.5	2.674e+11
4094	2.686e+11
4094.5	2.697e+11
4095	2.709e+11
4095.5	2.72e+11
4096	2.732e+11
4096.5	2.743e+11
4097	2.754e+11
4097.5	2.764e+11
4098	2.775e+11
4098.5	2.785e+11
4099	2.795e+11
4099.5	2.805e+11
4100	2.815e+11
4100.5	2.825e+11
4101	2.834e+11
4101.5	2.843e+11
4102	2.852e+11
4102.5	2.861e+11
4103	2.87e+11
4103.5	2.878e+11
4104	2.887e+11
4104.5	2.895e+11
4105	2.903e+11
4105.5	2.911e+11
4106	2.919e+11
4106.5	2.926e+11
4107	2.933e+11
4107.5	2.941e+11
4108	2.948e+11
4108.5	2.955e+11
4109	2.962e+11
4109.5	2.969e+11
4110	2.976e+11
4110.5	2.983e+11
4111	2.989e+11
4111.5	2.996e+11
4112	3.002e+11
4112.5	3.009e+11
4113	3.015e+11
4113.5	3.022e+11
4114	3.028e+11
4114.5	3.035e+11
4115	3.041e+11
4115.5	3.048e+11
4116	3.054e+11
4116.5	3.061e+11
4117	3.068e+11
4117.5	3.075e+11
4118	3.081e+11
4118.5	3.088e+11
4119	3.095e+11
4119.5	3.103e+11
4120	3.11e+11
4120.5	3.118e+11
4121	3.125e+11
4121.5	3.133e+11
4122	3.141e+11
4122.5	3.15e+11
4123	3.158e+11
4123.5	3.167e+11
4124	3.176e+11
4124.5	3.185e+11
4125	3.194e+11
4125.5	3.204e+11
4126	3.214e+11
4126.5	3.224e+11
4127	3.234e+11
4127.5	3.245e+11
4128	3.256e+11
4128.5	3.268e+11
4129	3.279e+11
4129.5	3.291e+11
4130	3.304e+11
4130.5	3.316e+11
4131	3.329e+11
4131.5	3.343e+11
4132	3.356e+11
4132.5	3.37e+11
4133	3.384e+11
4133.5	3.399e+11
4134	3.414e+11
4134.5	3.43e+11
4135	3.445e+11
4135.5	3.461e+11
4136	3.477e+11
4136.5	3.494e+11
4137	3.511e+11
4137.5	3.528e+11
4138	3.546e+11
4138.5	3.564e+11
4139	3.582e+11
4139.5	3.6e+11
4140	3.619e+11
4140.5	3.638e+11
4141	3.657e+11
4141.5	3.676e+11
4142	3.696e+11
4142.5	3.715e+11
4143	3.736e+11
4143.5	3.756e+11
4144	3.776e+11
4144.5	3.797e+11
4145	3.817e+11
4145.5	3.838e+11
4146	3.859e+11
4146.5	3.88e+11
4147	3.901e+11
4147.5	3.922e+11
4148	3.943e+11
4148.5	3.963e+11
4149	3.985e+11
4149.5	4.006e+11
4150	4.027e+11
4150.5	4.048e+11
4151	4.069e+11
4151.5	4.089e+11
4152	4.111e+11
4152.5	4.131e+11
4153	4.152e+11
4153.5	4.172e+11
4154	4.193e+11
4154.5	4.213e+11
4155	4.233e+11
4155.5	4.253e+11
4156	4.273e+11
4156.5	4.293e+11
4157	4.312e+11
4157.5	4.331e+11
4158	4.351e+11
4158.5	4.369e+11
4159	4.388e+11
4159.5	4.407e+11
4160	4.425e+11
4160.5	4.443e+11
4161	4.461e+11
4161.5	4.479e+11
4162	4.496e+11
4162.5	4.513e+11
4163	4.53e+11
4163.5	4.547e+11
4164	4.563e+11
4164.5	4.579e+11
4165	4.595e+11
4165.5	4.611e+11
4166	4.626e+11
4166.5	4.642e+11
4167	4.657e+11
4167.5	4.671e+11
4168	4.686e+11
4168.5	4.7e+11
4169	4.714e+11
4169.5	4.728e+11
4170	4.741e+11
4170.5	4.755e+11
4171	4.768e+11
4171.5	4.781e+11
4172	4.793e+11
4172.5	4.806e+11
4173	4.818e+11
4173.5	4.831e+11
4174	4.842e+11
4174.5	4.854e+11
4175	4.866e+11
4175.5	4.877e+11
4176	4.889e+11
4176.5	4.9e+11
4177	4.911e+11
4177.5	4.921e+11
4178	4.932e+11
4178.5	4.943e+11
4179	4.953e+11
4179.5	4.963e+11
4180	4.974e+11
4180.5	4.984e+11
4181	4.994e+11
4181.5	5.004e+11
4182	5.014e+11
4182.5	5.024e+11
4183	5.034e+11
4183.5	5.044e+11
4184	5.055e+11
4184.5	5.065e+11
4185	5.075e+11
4185.5	5.085e+11
4186	5.095e+11
4186.5	5.106e+11
4187	5.117e+11
4187.5	5.127e+11
4188	5.138e+11
4188.5	5.149e+11
4189	5.16e+11
4189.5	5.171e+11
4190	5.183e+11
4190.5	5.194e+11
4191	5.206e+11
4191.5	5.218e+11
4192	5.231e+11
4192.5	5.243e+11
4193	5.256e+11
4193.5	5.269e+11
4194	5.283e+11
4194.5	5.296e+11
4195	5.31e+11
4195.5	5.325e+11
4196	5.34e+11
4196.5	5.354e+11
4197	5.369e+11
4197.5	5.385e+11
4198	5.4e+11
4198.5	5.416e+11
4199	5.433e+11
4199.5	5.449e+11
4200	5.466e+11
4200.5	5.484e+11
4201	5.501e+11
4201.5	5.519e+11
4202	5.537e+11
4202.5	5.555e+11
4203	5.573e+11
4203.5	5.592e+11
4204	5.611e+11
4204.5	5.63e+11
4205	5.65e+11
4205.5	5.669e+11
4206	5.688e+11
4206.5	5.708e+11
4207	5.728e+11
4207.5	5.749e+11
4208	5.769e+11
4208.5	5.789e+11
4209	5.809e+11
4209.5	5.83e+11
4210	5.85e+11
4210.5	5.871e+11
4211	5.892e+11
4211.5	5.912e+11
4212	5.933e+11
4212.5	5.954e+11
4213	5.975e+11
4213.5	5.996e+11
4214	6.017e+11
4214.5	6.037e+11
4215	6.058e+11
4215.5	6.079e+11
4216	6.099e+11
4216.5	6.12e+11
4217	6.141e+11
4217.5	6.161e+11
4218	6.182e+11
4218.5	6.202e+11
4219	6.222e+11
4219.5	6.243e+11
4220	6.263e+11
4220.5	6.283e+11
4221	6.303e+11
4221.5	6.322e+11
4222	6.342e+11
4222.5	6.362e+11
4223	6.382e+11
4223.5	6.401e+11
4224	6.42e+11
4224.5	6.439e+11
4225	6.458e+11
4225.5	6.478e+11
4226	6.497e+11
4226.5	6.515e+11
4227	6.534e+11
4227.5	6.553e+11
4228	6.571e+11
4228.5	6.59e+11
4229	6.608e+11
4229.5	6.626e+11
4230	6.644e+11
4230.5	6.662e+11
4231	6.68e+11
4231.5	6.698e+11
4232	6.716e+11
4232.5	6.733e+11
4233	6.75e+11
4233.5	6.768e+11
4234	6.785e+11
4234.5	6.803e+11
4235	6.819e+11
4235.5	6.836e+11
4236	6.853e+11
4236.5	6.87e+11
4237	6.887e+11
4237.5	6.903e+11
4238	6.919e+11
4238.5	6.935e+11
4239	6.951e+11
4239.5	6.967e+11
4240	6.984e+11
4240.5	6.999e+11
4241	7.014e+11
4241.5	7.03e+11
4242	7.045e+11
4242.5	7.06e+11
4243	7.075e+11
4243.5	7.089e+11
4244	7.103e+11
4244.5	7.117e+11
4245	7.131e+11
4245.5	7.145e+11
4246	7.159e+11
4246.5	7.172e+11
4247	7.185e+11
4247.5	7.198e+11
4248	7.21e+11
4248.5	7.222e+11
4249	7.235e+11
4249.5	7.247e+11
4250	7.258e+11
4250.5	7.269e+11
4251	7.28e+11
4251.5	7.29e+11
4252	7.301e+11
4252.5	7.311e+11
4253	7.321e+11
4253.5	7.33e+11
4254	7.339e+11
4254.5	7.349e+11
4255	7.357e+11
4255.5	7.366e+11
4256	7.373e+11
4256.5	7.381e+11
4257	7.389e+11
4257.5	7.397e+11
4258	7.404e+11
4258.5	7.411e+11
4259	7.417e+11
4259.5	7.423e+11
4260	7.429e+11
4260.5	7.436e+11
4261	7.442e+11
4261.5	7.447e+11
4262	7.452e+11
4262.5	7.458e+11
4263	7.463e+11
4263.5	7.469e+11
4264	7.474e+11
4264.5	7.478e+11
4265	7.483e+11
4265.5	7.488e+11
4266	7.492e+11
4266.5	7.498e+11
4267	7.503e+11
4267.5	7.508e+11
4268	7.512e+11
4268.5	7.517e+11
4269	7.522e+11
4269.5	7.528e+11
4270	7.533e+11
4270.5	7.539e+11
4271	7.544e+11
4271.5	7.55e+11
4272	7.556e+11
4272.5	7.563e+11
4273	7.57e+11
4273.5	7.577e+11
4274	7.583e+11
4274.5	7.591e+11
4275	7.598e+11
4275.5	7.607e+11
4276	7.615e+11
4276.5	7.624e+11
4277	7.632e+11
4277.5	7.642e+11
4278	7.652e+11
4278.5	7.662e+11
4279	7.672e+11
4279.5	7.683e+11
4280	7.693e+11
4280.5	7.705e+11
4281	7.717e+11
4281.5	7.729e+11
4282	7.741e+11
4282.5	7.754e+11
4283	7.766e+11
4283.5	7.779e+11
4284	7.793e+11
4284.5	7.807e+11
4285	7.821e+11
4285.5	7.835e+11
4286	7.849e+11
4286.5	7.864e+11
4287	7.879e+11
4287.5	7.894e+11
4288	7.91e+11
4288.5	7.925e+11
4289	7.94e+11
4289.5	7.956e+11
4290	7.973e+11
4290.5	7.989e+11
4291	8.006e+11
4291.5	8.022e+11
4292	8.038e+11
4292.5	8.055e+11
4293	8.073e+11
4293.5	8.09e+11
4294	8.108e+11
4294.5	8.125e+11
4295	8.142e+11
4295.5	8.16e+11
4296	8.178e+11
4296.5	8.196e+11
4297	8.215e+11
4297.5	8.233e+11
4298	8.25e+11
4298.5	8.269e+11
4299	8.288e+11
4299.5	8.307e+11
4300	8.325e+11
4300.5	8.344e+11
4301	8.362e+11
4301.5	8.382e+11
4302	8.401e+11
4302.5	8.419e+11
4303	8.438e+11
4303.5	8.457e+11
4304	8.475e+11
4304.5	8.495e+11
4305	8.513e+11
4305.5	8.532e+11
4306	8.55e+11
4306.5	8.568e+11
4307	8.586e+11
4307.5	8.605e+11
4308	8.622e+11
4308.5	8.64e+11
4309	8.657e+11
4309.5	8.674e+11
4310	8.69e+11
4310.5	8.707e+11
4311	8.724e+11
4311.5	8.739e+11
4312	8.755e+11
4312.5	8.77e+11
4313	8.784e+11
4313.5	8.799e+11
4314	8.812e+11
4314.5	8.826e+11
4315	8.839e+11
4315.5	8.851e+11
4316	8.863e+11
4316.5	8.875e+11
4317	8.886e+11
4317.5	8.897e+11
4318	8.908e+11
4318.5	8.917e+11
4319	8.926e+11
4319.5	8.936e+11
4320	8.945e+11
4320.5	8.954e+11
4321	8.962e+11
4321.5	8.97e+11
4322	8.977e+11
4322.5	8.985e+11
4323	8.993e+11
4323.5	9e+11
4324	9.007e+11
4324.5	9.013e+11
4325	9.02e+11
4325.5	9.027e+11
4326	9.034e+11
4326.5	9.041e+11
4327	9.048e+11
4327.5	9.055e+11
4328	9.063e+11
4328.5	9.07e+11
4329	9.078e+11
4329.5	9.086e+11
4330	9.095e+11
4330.5	9.104e+11
4331	9.113e+11
4331.5	9.123e+11
4332	9.134e+11
4332.5	9.144e+11
4333	9.156e+11
4333.5	9.168e+11
4334	9.181e+11
4334.5	9.194e+11
4335	9.208e+11
4335.5	9.223e+11
4336	9.239e+11
4336.5	9.255e+11
4337	9.272e+11
4337.5	9.29e+11
4338	9.309e+11
4338.5	9.328e+11
4339	9.348e+11
4339.5	9.369e+11
4340	9.391e+11
4340.5	9.414e+11
4341	9.438e+11
4341.5	9.462e+11
4342	9.488e+11
4342.5	9.514e+11
4343	9.541e+11
4343.5	9.569e+11
4344	9.598e+11
4344.5	9.628e+11
4345	9.658e+11
4345.5	9.69e+11
4346	9.723e+11
4346.5	9.756e+11
4347	9.79e+11
4347.5	9.825e+11
4348	9.861e+11
