Energy	Plot 1
4000	2.607e+11
4000.5	2.615e+11
4001	2.623e+11
4001.5	2.631e+11
4002	2.639e+11
4002.5	2.647e+11
4003	2.655e+11
4003.5	2.662e+11
4004	2.67e+11
4004.5	2.678e+11
4005	2.685e+11
4005.5	2.693e+11
4006	2.7e+11
4006.5	2.708e+11
4007	2.715e+11
4007.5	2.722e+11
4008	2.729e+11
4008.5	2.736e+11
4009	2.743e+11
4009.5	2.75e+11
4010	2.757e+11
4010.5	2.764e+11
4011	2.77e+11
4011.5	2.777e+11
4012	2.783e+11
4012.5	2.79e+11
4013	2.796e+11
4013.5	2.802e+11
4014	2.808e+11
4014.5	2.814e+11
4015	2.82e+11
4015.5	2.826e+11
4016	2.832e+11
4016.5	2.837e+11
4017	2.843e+11
4017.5	2.848e+11
4018	2.854e+11
4018.5	2.859e+11
4019	2.864e+11
4019.5	2.87e+11
4020	2.875e+11
4020.5	2.88e+11
4021	2.885e+11
4021.5	2.89e+11
4022	2.895e+11
4022.5	2.9e+11
4023	2.905e+11
4023.5	2.909e+11
4024	2.914e+11
4024.5	2.919e+11
4025	2.924e+11
4025.5	2.929e+11
4026	2.933e+11
4026.5	2.938e+11
4027	2.943e+11
4027.5	2.948e+11
4028	2.953e+11
4028.5	2.958e+11
4029	2.962e+11
4029.5	2.967e+11
4030	2.972e+11
4030.5	2.977e+11
4031	2.983e+11
4031.5	2.988e+11
4032	2.993e+11
4032.5	2.999e+11
4033	3.004e+11
4033.5	3.01e+11
4034	3.015e+11
4034.5	3.021e+11
4035	3.027e+11
4035.5	3.033e+11
4036	3.039e+11
4036.5	3.045e+11
4037	3.051e+11
4037.5	3.058e+11
4038	3.065e+11
4038.5	3.071e+11
4039	3.078e+11
4039.5	3.085e+11
4040	3.093e+11
4040.5	3.1e+11
4041	3.107e+11
4041.5	3.115e+11
4042	3.123e+11
4042.5	3.131e+11
4043	3.139e+11
4043.5	3.148e+11
4044	3.156e+11
4044.5	3.165e+11
4045	3.174e+11
4045.5	3.183e+11
4046	3.192e+11
4046.5	3.202e+11
4047	3.211e+11
4047.5	3.221e+11
4048	3.231e+11
4048.5	3.241e+11
4049	3.251e+11
4049.5	3.261e+11
4050	3.272e+11
4050.5	3.282e+11
4051	3.293e+11
4051.5	3.304e+11
4052	3.316e+11
4052.5	3.327e+11
4053	3.338e+11
4053.5	3.35e+11
4054	3.361e+11
4054.5	3.373e+11
4055	3.385e+11
4055.5	3.398e+11
4056	3.409e+11
4056.5	3.422e+11
4057	3.434e+11
4057.5	3.447e+11
4058	3.459e+11
4058.5	3.472e+11
4059	3.485e+11
4059.5	3.497e+11
4060	3.51e+11
4060.5	3.523e+11
4061	3.536e+11
4061.5	3.549e+11
4062	3.562e+11
4062.5	3.575e+11
4063	3.588e+11
4063.5	3.602e+11
4064	3.615e+11
4064.5	3.628e+11
4065	3.641e+11
4065.5	3.654e+11
4066	3.667e+11
4066.5	3.68e+11
4067	3.693e+11
4067.5	3.706e+11
4068	3.719e+11
4068.5	3.732e+11
4069	3.745e+11
4069.5	3.758e+11
4070	3.771e+11
4070.5	3.784e+11
4071	3.797e+11
4071.5	3.81e+11
4072	3.822e+11
4072.5	3.835e+11
4073	3.848e+11
4073.5	3.861e+11
4074	3.873e+11
4074.5	3.886e+11
4075	3.898e+11
4075.5	3.911e+11
4076	3.923e+11
4076.5	3.936e+11
4077	3.948e+11
4077.5	3.96e+11
4078	3.972e+11
4078.5	3.985e+11
4079	3.997e+11
4079.5	4.01e+11
4080	4.022e+11
4080.5	4.034e+11
4081	4.046e+11
4081.5	4.059e+11
4082	4.072e+11
4082.5	4.084e+11
4083	4.096e+11
4083.5	4.109e+11
4084	4.121e+11
4084.5	4.134e+11
4085	4.147e+11
4085.5	4.16e+11
4086	4.172e+11
4086.5	4.185e+11
4087	4.199e+11
4087.5	4.212e+11
4088	4.225e+11
4088.5	4.239e+11
4089	4.252e+11
4089.5	4.265e+11
4090	4.28e+11
4090.5	4.293e+11
4091	4.308e+11
4091.5	4.322e+11
4092	4.336e+11
4092.5	4.35e+11
4093	4.365e+11
4093.5	4.38e+11
4094	4.395e+11
4094.5	4.41e+11
4095	4.425e+11
4095.5	4.441e+11
4096	4.457e+11
4096.5	4.473e+11
4097	4.489e+11
4097.5	4.505e+11
4098	4.521e+11
4098.5	4.538e+11
4099	4.555e+11
4099.5	4.572e+11
4100	4.59e+11
4100.5	4.607e+11
4101	4.625e+11
4101.5	4.642e+11
4102	4.661e+11
4102.5	4.679e+11
4103	4.698e+11
4103.5	4.716e+11
4104	4.735e+11
4104.5	4.754e+11
4105	4.773e+11
4105.5	4.793e+11
4106	4.812e+11
4106.5	4.832e+11
4107	4.852e+11
4107.5	4.872e+11
4108	4.892e+11
4108.5	4.913e+11
4109	4.934e+11
4109.5	4.954e+11
4110	4.975e+11
4110.5	4.997e+11
4111	5.018e+11
4111.5	5.04e+11
4112	5.062e+11
4112.5	5.084e+11
4113	5.105e+11
4113.5	5.128e+11
4114	5.151e+11
4114.5	5.174e+11
4115	5.196e+11
4115.5	5.219e+11
4116	5.242e+11
4116.5	5.267e+11
4117	5.29e+11
4117.5	5.314e+11
4118	5.338e+11
4118.5	5.362e+11
4119	5.387e+11
4119.5	5.412e+11
4120	5.437e+11
4120.5	5.462e+11
4121	5.488e+11
4121.5	5.513e+11
4122	5.539e+11
