Energy	Plot 1
4000	1.355e+11
4000.5	1.359e+11
4001	1.363e+11
4001.5	1.367e+11
4002	1.371e+11
4002.5	1.374e+11
4003	1.378e+11
4003.5	1.382e+11
4004	1.386e+11
4004.5	1.39e+11
4005	1.394e+11
4005.5	1.398e+11
4006	1.402e+11
4006.5	1.406e+11
4007	1.41e+11
4007.5	1.415e+11
4008	1.419e+11
4008.5	1.423e+11
4009	1.427e+11
4009.5	1.431e+11
4010	1.436e+11
4010.5	1.44e+11
4011	1.444e+11
4011.5	1.448e+11
4012	1.453e+11
4012.5	1.457e+11
4013	1.461e+11
4013.5	1.466e+11
4014	1.47e+11
4014.5	1.475e+11
4015	1.479e+11
4015.5	1.484e+11
4016	1.488e+11
4016.5	1.493e+11
4017	1.497e+11
4017.5	1.502e+11
4018	1.507e+11
4018.5	1.511e+11
4019	1.516e+11
4019.5	1.521e+11
4020	1.525e+11
4020.5	1.53e+11
4021	1.535e+11
4021.5	1.54e+11
4022	1.545e+11
4022.5	1.55e+11
4023	1.555e+11
4023.5	1.559e+11
4024	1.564e+11
4024.5	1.569e+11
4025	1.574e+11
4025.5	1.58e+11
4026	1.585e+11
4026.5	1.59e+11
4027	1.595e+11
4027.5	1.6e+11
4028	1.605e+11
4028.5	1.61e+11
4029	1.616e+11
4029.5	1.621e+11
4030	1.626e+11
4030.5	1.631e+11
4031	1.637e+11
4031.5	1.642e+11
4032	1.648e+11
4032.5	1.653e+11
4033	1.659e+11
4033.5	1.664e+11
4034	1.67e+11
4034.5	1.675e+11
4035	1.681e+11
4035.5	1.687e+11
4036	1.692e+11
4036.5	1.698e+11
4037	1.704e+11
4037.5	1.71e+11
4038	1.715e+11
4038.5	1.721e+11
4039	1.727e+11
4039.5	1.733e+11
4040	1.739e+11
4040.5	1.745e+11
4041	1.751e+11
4041.5	1.757e+11
4042	1.763e+11
4042.5	1.769e+11
4043	1.775e+11
4043.5	1.781e+11
4044	1.787e+11
4044.5	1.794e+11
4045	1.8e+11
4045.5	1.806e+11
4046	1.812e+11
4046.5	1.819e+11
4047	1.825e+11
4047.5	1.831e+11
4048	1.838e+11
4048.5	1.844e+11
4049	1.851e+11
4049.5	1.857e+11
4050	1.864e+11
4050.5	1.87e+11
4051	1.877e+11
4051.5	1.884e+11
4052	1.89e+11
4052.5	1.897e+11
4053	1.904e+11
4053.5	1.911e+11
4054	1.917e+11
4054.5	1.924e+11
4055	1.931e+11
4055.5	1.938e+11
4056	1.945e+11
4056.5	1.952e+11
4057	1.959e+11
4057.5	1.966e+11
4058	1.973e+11
4058.5	1.98e+11
4059	1.987e+11
4059.5	1.994e+11
4060	2.002e+11
4060.5	2.009e+11
4061	2.016e+11
4061.5	2.023e+11
4062	2.031e+11
4062.5	2.038e+11
4063	2.045e+11
4063.5	2.053e+11
4064	2.061e+11
4064.5	2.068e+11
4065	2.075e+11
4065.5	2.083e+11
4066	2.091e+11
4066.5	2.099e+11
4067	2.106e+11
4067.5	2.114e+11
4068	2.122e+11
4068.5	2.129e+11
4069	2.137e+11
4069.5	2.145e+11
4070	2.153e+11
4070.5	2.161e+11
4071	2.169e+11
4071.5	2.177e+11
4072	2.186e+11
4072.5	2.194e+11
4073	2.202e+11
4073.5	2.21e+11
4074	2.219e+11
4074.5	2.227e+11
4075	2.235e+11
4075.5	2.244e+11
4076	2.252e+11
4076.5	2.261e+11
4077	2.269e+11
4077.5	2.278e+11
4078	2.287e+11
4078.5	2.296e+11
4079	2.304e+11
4079.5	2.313e+11
4080	2.322e+11
4080.5	2.331e+11
4081	2.34e+11
4081.5	2.349e+11
4082	2.358e+11
4082.5	2.367e+11
4083	2.376e+11
4083.5	2.385e+11
4084	2.394e+11
4084.5	2.404e+11
4085	2.413e+11
4085.5	2.422e+11
4086	2.431e+11
4086.5	2.441e+11
4087	2.45e+11
4087.5	2.46e+11
4088	2.469e+11
4088.5	2.479e+11
4089	2.488e+11
4089.5	2.498e+11
4090	2.508e+11
4090.5	2.518e+11
4091	2.528e+11
4091.5	2.537e+11
4092	2.547e+11
4092.5	2.557e+11
4093	2.567e+11
4093.5	2.577e+11
4094	2.587e+11
4094.5	2.597e+11
4095	2.607e+11
4095.5	2.618e+11
4096	2.628e+11
4096.5	2.638e+11
4097	2.649e+11
4097.5	2.659e+11
4098	2.669e+11
4098.5	2.68e+11
4099	2.69e+11
4099.5	2.701e+11
4100	2.712e+11
4100.5	2.722e+11
4101	2.733e+11
4101.5	2.744e+11
4102	2.755e+11
4102.5	2.765e+11
