        11,     14461,    0.0857,1.11e+10,1.79e+08,6.22e-05
        13,     17091,    0.0725,5.16e+09,8.38e+07,6.16e-05
        17,     22350,    0.0555,1.47e+09,2.42e+07,6.07e-05
        23,     30238,    0.0410,3.00e+08,4.61e+06,6.51e-05
