         5,     12499,    0.0992,2.03e+10,3.29e+08
         7,     17498,    0.0709,1.02e+10,1.40e+08
         9,     22498,    0.0551,2.22e+09,5.30e+07
        13,     32497,    0.0382,1.32e+09,8.67e+06
